game,turn,on_turn_player,nested_pick_orig,flat_pick,nested_top_pick,nested_top_wpct,nested_wpct_for_flat_pick,cgp
3,6,0,K8 (C)OON,I7 E(V)O,L8 (T)OETOE,0.266381,0.264356,7APEEK3/11IT2/9LOTO2/9ALEW2/9BE1Y2/9E5/9L5/7EVICT3/9N5/9G5/15/15/15/15/15 AEENOOT/DGHMNPR 73/139 0
3,7,1,(exch GHMNPR),H7 H(E)MP,(exch DHMPR),0.685177,0.685764,7APEEK3/11IT2/9LOTO2/9ALEW2/9BE1Y2/9E5/9L5/7EVICT3/9NO4/9GO4/10N4/15/15/15/15 DGHMNPR/ABEERTW 139/90 0
3,10,0,7B TRAINER,9B TERRAIN,7B TRAINER,0.419206,0.406153,7APEEK3/5WEB3IT2/2FADED2LOTO2/9ALEW2/9BE1Y2/9E5/9L5/7EVICT3/9NO4/9GO4/10N4/15/15/15/15 AEINRRT/ADEHRSS 110/173 0
4,2,0,8L SAFT,O6 VAGS,O6 VAGS,0.399575,0.399575,15/15/15/15/15/15/15/6JIZ6/7DARIOLE1/15/15/15/15/15/15 AFGLSTV/AEELNPR 38/75 0
4,3,1,10L PEEL,10L PEN,10L PANE,0.617618,0.595175,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/15/15/15/15/15/15 AEELNPR/EGLOOUV 75/72 0
4,4,0,10G VEG,10C VOULGE,10G VEG,0.442122,0.415156,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/11PEEL/15/15/15/15/15 EGLOOUV/AAEIMNR 72/99 0
4,10,0,E10 QU(I)M,11D OX,11D OX,0.182298,0.182298,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/6VEGO1PEEL/9U4A/2COISTREL1VEHM/13OI/13IN/14A MOQRTUX/DDINNOR 137/228 0
4,13,1,15B DONNAR(D),C9 NAR(C)O,15B DONNAR(D),0.822901,0.754699,15/15/15/15/15/15/15/6JIZ2SAFT/7DARIOLE1/4Q1VEGO1PEEL/4U4U4A/2COISTREL1VEHM/4M2I5OI/6ONYX3IN/7D6A AADNNOR/BEFNRT? 243/197 0
5,6,0,15A TIN(G)LERS,15A RIN(G)LETS,15A TIN(G)LERS,0.794639,0.776661,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/3R5I5/3Y11/3I11/3N11/3G11 EILNRST/EIIRUZ? 82/130 0
5,8,0,11B GA(R)GLE,C12 AX,C12 AX,0.641410,0.641410,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/3R5I5/3Y11/3I11/3N1ZE8/TINGLERS7 AEGGLLX/IIRRTU? 213/194 0
5,9,1,12G RIT,H11 RIT,H11 RIT,0.480266,0.480266,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/1GARGLE2I5/3Y11/3I11/3N1ZE8/TINGLERS7 IIRRTU?/DKLSSTX 194/229 0
5,10,0,C10 D(A)KS,H11 D(I)SK(S),H11 D(I)SK(S),0.855210,0.855210,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/3A5J5/1GARGLE2I5/3Y2RIT6/3I11/3N1ZE8/TINGLERS7 DKLSSTX/BIIRUU? 229/200 0
5,11,1,(exch BIUU),I12 (T)UI,E11 (G)UB,0.313724,0.282067,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/2DA5J5/1GARGLE2I5/2KY2RIT6/2SI11/3N1ZE8/TINGLERS7 BIIRUU?/AFHLSTX 200/263 0
5,12,0,K11 FALX,K11 FLAX,K11 FALX,0.960738,0.951555,15/15/15/15/15/6SNAB5/6YON6/3WIVED7/3E2NIPA5/2DA5J5/1GARGLE2I5/2KY2RIT6/2SI11/3N1ZE8/TINGLERS7 AFHLSTX/AIOORT? 263/200 1
6,1,1,8F ABOVE,8D ABOVE,8D ABOVE,0.546214,0.546214,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 ABELOOV/EIPRSTV 0/0 1
6,3,1,10B BLOODI(E)D,J2 BLOODI(E)D,J2 BLOODI(E)D,0.443368,0.443368,15/15/15/15/15/15/15/5ABOVE5/7V7/7E7/7R7/7T7/7I7/7P7/7S7 BDDILOO/AEFGOW? 20/92 0
6,8,0,F4 HOC,C12 OF,C10 (L)IEF,0.802129,0.776525,15/15/15/15/4J10/3PI10/3IN10/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R3T7/3Y3I7/5UNPAY5/FlOWAGES7 CEFHIOS/AEENRRT 223/200 0
6,9,1,12F NA(T)TERER,12F RA(T)TENER,12F NA(T)TERER,0.468534,0.441150,15/15/15/5H9/4JO9/3PIC9/3IN10/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R3T7/3Y3I7/5UNPAY5/FlOWAGES7 AEENRRT/EFINSZ? 200/259 0
6,10,0,J2 FrENZI(E)S,K2 FIzZENS,K2 FIzZENS,0.920331,0.920331,15/15/15/5H9/4JO9/3PIC9/3IN10/3G1ABOVE5/3E3V7/1BLOODIED6/3N3R7/3R1NATTERER2/3Y3I7/5UNPAY5/FlOWAGES7 EFINSZ?/DEOSTTU 259/266 0
7,1,1,8D BOLTER,8G BOP,8H PROB,0.559862,0.497767,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 BELOPRT/DEEINR? 0/0 1
7,2,0,E5 REj(O)INED,E5 REc(O)INED,E5 REj(O)INED,0.715231,0.711301,15/15/15/15/15/15/15/3BOLTER6/15/15/15/15/15/15/15 DEEINR?/AKNPTUY 0/22 0
7,3,1,D11 TANKY,6B PUK(E)Y,D11 TANKY,0.326867,0.311119,15/15/15/15/4R10/4E10/4j10/3BOLTER6/4I10/4N10/4E10/4D10/15/15/15 AKNPTUY/AAFHLRY 22/82 0
