game,turn,on_turn_player,nested_pick,flat_pick,flat_wpct,flat_wpct_for_nested_pick,cgp
7,5,1,C9 CHADO,15A ACH(Y),0.275376,0.274051,15/15/15/15/4R10/4EH9/4jA9/3BOLTER6/4IF9/4NA9/3TE10/3AD10/3N11/3K11/3Y11 ACDHOPU/DLLRTY? 62/126 0
7,6,0,14A DaR(K)LY,14A DaR(K)LY,0.731797,0.731797,15/15/15/15/4R10/4EH9/4jA9/3BOLTER6/2C1IF9/2H1NA9/2ATE10/2DAD10/2ON11/3K11/3Y11 DLLRTY?/AFPQSTU 126/102 0
7,7,1,A11 QUA(D)S,A11 QUA(D)S,0.227437,0.227437,15/15/15/15/4R10/4EH9/4jA9/3BOLTER6/2C1IF9/2H1NA9/2ATE10/2DAD10/2ON11/DaRKLY9/3Y11 AFPQSTU/ALOOOTT 102/180 0
7,8,0,15F OTTO,15F OOT,0.668284,0.662876,15/15/15/15/4R10/4EH9/4jA9/3BOLTER6/2C1IF9/2H1NA9/Q1ATE10/U1DAD10/A1ON11/DaRKLY9/S2Y11 ALOOOTT/AEEFPTU 180/150 0
7,9,1,D4 AUF,D4 AUF,0.298599,0.298599,15/15/15/15/4R10/4EH9/4jA9/3BOLTER6/2C1IF9/2H1NA9/Q1ATE10/U1DAD10/A1ON11/DaRKLY9/S2Y1OTTO6 AEEFPTU/AAEGLOU 150/197 0
7,10,0,B10 OU,B10 OU,0.676275,0.676275,15/15/15/3A11/3UR10/3FEH9/4jA9/3BOLTER6/2C1IF9/2H1NA9/Q1ATE10/U1DAD10/A1ON11/DaRKLY9/S2Y1OTTO6 AAEGLOU/EEINPST 197/173 0
7,11,1,J3 PENTISE,J3 PENTISE,0.516649,0.516649,15/15/15/3A11/3UR10/3FEH9/4jA9/3BOLTER6/2C1IF9/1OH1NA9/QUATE10/U1DAD10/A1ON11/DaRKLY9/S2Y1OTTO6 EEINPST/AAEGILS 173/222 0
8,0,0,8F PROD,8D PRODS,0.554875,0.553190,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 ADOPRSS/EEJNOOS 0/0 0
8,1,1,G8 (R)EJONEOS,G8 (R)EJONEOS,0.594653,0.594653,15/15/15/15/15/15/15/5PROD6/15/15/15/15/15/15/15 EEJNOOS/AIISSTY 0/14 0
8,2,0,15E SY(S)SITIA,15E SY(S)SITIA,0.539641,0.539641,15/15/15/15/15/15/15/5PROD6/6E8/6J8/6O8/6N8/6E8/6O8/6S8 AIISSTY/AEILNRT 14/67 0
8,3,1,13C ELAT(E)RIN,13C ELAT(E)RIN,0.559213,0.559213,15/15/15/15/15/15/15/5PROD6/6E8/6J8/6O8/6N8/6E8/6O8/4SYSSITIA3 AEILNRT/ADDEIN? 67/100 0
8,4,0,11E AD(O)NIsED,11E AN(O)DIzED,0.646913,0.642693,15/15/15/15/15/15/15/5PROD6/6E8/6J8/6O8/6N8/2ELATERIN5/6O8/4SYSSITIA3 ADDEIN?/EEMNOY? 100/135 0
8,5,1,L4 MONkEYE(D),L4 MONkEYE(D),0.527693,0.527693,15/15/15/15/15/15/15/5PROD6/6E8/6J8/4ADONIsED3/6N8/2ELATERIN5/6O8/4SYSSITIA3 EEMNOY?/AEGGHIS 135/186 0
